  j        y/delta             y+          u_rms          v_rms          w_rms    omega_x_rms    omega_y_rms    omega_z_rms          p_rms
160   0.733287E+00   0.471166E+03   0.103456E+01   0.716639E+00   0.767393E+00   0.298794E-01   0.279585E-01   0.283901E-01   0.104833E+01
161   0.741181E+00   0.476238E+03   0.102412E+01   0.712371E+00   0.760372E+00   0.295085E-01   0.276441E-01   0.281173E-01   0.103431E+01
162   0.749092E+00   0.481322E+03   0.101368E+01   0.708164E+00   0.753419E+00   0.291485E-01   0.273358E-01   0.278495E-01   0.102044E+01
163   0.757020E+00   0.486415E+03   0.100324E+01   0.704025E+00   0.746565E+00   0.287862E-01   0.270334E-01   0.275903E-01   0.100669E+01
164   0.764964E+00   0.491520E+03   0.992841E+00   0.699961E+00   0.739836E+00   0.284282E-01   0.267362E-01   0.273419E-01   0.993090E+00
165   0.772924E+00   0.496634E+03   0.982495E+00   0.695980E+00   0.733237E+00   0.280782E-01   0.264450E-01   0.270981E-01   0.979646E+00
166   0.780899E+00   0.501759E+03   0.972226E+00   0.692086E+00   0.726755E+00   0.277292E-01   0.261596E-01   0.268554E-01   0.966354E+00
167   0.788888E+00   0.506892E+03   0.962034E+00   0.688284E+00   0.720389E+00   0.273919E-01   0.258803E-01   0.266184E-01   0.953259E+00
168   0.796892E+00   0.512035E+03   0.951916E+00   0.684580E+00   0.714147E+00   0.270629E-01   0.256079E-01   0.263878E-01   0.940367E+00
169   0.804910E+00   0.517187E+03   0.941880E+00   0.680979E+00   0.708031E+00   0.267322E-01   0.253430E-01   0.261619E-01   0.927679E+00
170   0.812940E+00   0.522347E+03   0.931942E+00   0.677490E+00   0.702031E+00   0.264172E-01   0.250861E-01   0.259433E-01   0.915251E+00
171   0.820983E+00   0.527514E+03   0.922121E+00   0.674119E+00   0.696152E+00   0.261180E-01   0.248380E-01   0.257326E-01   0.903100E+00
172   0.829038E+00   0.532690E+03   0.912429E+00   0.670868E+00   0.690405E+00   0.258216E-01   0.245987E-01   0.255309E-01   0.891235E+00
173   0.837105E+00   0.537873E+03   0.902874E+00   0.667743E+00   0.684806E+00   0.255417E-01   0.243686E-01   0.253432E-01   0.879711E+00
174   0.845182E+00   0.543063E+03   0.893472E+00   0.664746E+00   0.679375E+00   0.252767E-01   0.241484E-01   0.251685E-01   0.868540E+00
175   0.853270E+00   0.548260E+03   0.884247E+00   0.661876E+00   0.674132E+00   0.250144E-01   0.239384E-01   0.250044E-01   0.857729E+00
